userId,authType,완료한 Stage
ID037344,SUMTOTAL,4
ID064071,SUMTOTAL,4
ID063494,SUMTOTAL,4
ID005121,SUMTOTAL,4
IDKS-90581117,SUMTOTAL,4
ID046119,SUMTOTAL,4
IDFL-00294399,SUMTOTAL,4
ID066685,SUMTOTAL,4
IDFL-00281598,SUMTOTAL,4
ID064654,SUMTOTAL,4
IDFL-00280319,SUMTOTAL,4
IDAC-186090717,SUMTOTAL,1
indonesia.act,SUMTOTAL,4
ID046458,SUMTOTAL,4
IDAC-235710917,SUMTOTAL,4
ID050484,SUMTOTAL,4
ID046781,SUMTOTAL,4
ID044085,SUMTOTAL,4
ID049934,SUMTOTAL,4
IDAC-318130818,SUMTOTAL,4
ID054865,SUMTOTAL,4
ID052983,SUMTOTAL,4
ID044527,SUMTOTAL,4
ID060505,SUMTOTAL,4
ID052360,SUMTOTAL,4
ID057981,SUMTOTAL,4
ID066590,SUMTOTAL,4
ID050377,SUMTOTAL,4
ID063202,SUMTOTAL,4
ID068171,SUMTOTAL,4
ID051226,SUMTOTAL,4
ID066230,SUMTOTAL,4
IDAC-207370817,SUMTOTAL,4
ID045787,SUMTOTAL,4
ID063730,SUMTOTAL,4
ID056443,SUMTOTAL,4
ID067511,SUMTOTAL,4
ID061740,SUMTOTAL,4
IDAC-294190418,SUMTOTAL,4
IDFL-0023809,SUMTOTAL,4
ID054037,SUMTOTAL,4
ID045917,SUMTOTAL,4
ID026848,SUMTOTAL,4
ID054170,SUMTOTAL,4
ID055809,SUMTOTAL,4
ID055993,SUMTOTAL,4
ID067665,SUMTOTAL,4
ID038307,SUMTOTAL,4
ID068300,SUMTOTAL,4
ID060480,SUMTOTAL,4
ID067982,SUMTOTAL,4
ID066174,SUMTOTAL,4
ID036644,SUMTOTAL,4
ID055524,SUMTOTAL,4
ID066536,SUMTOTAL,4
ID057158,SUMTOTAL,4
IDAC-117630716,SUMTOTAL,4
IDFL-00290209,SUMTOTAL,4
ID067118,SUMTOTAL,4
ID060700,SUMTOTAL,4
ID051718,SUMTOTAL,4
ID038731,SUMTOTAL,4
ID068418,SUMTOTAL,4
ID050614,SUMTOTAL,4
ID059336,SUMTOTAL,4
ID053209,SUMTOTAL,4
ID068693,SUMTOTAL,4
ID065508,SUMTOTAL,4
IDAC-212800817,SUMTOTAL,4
ID061915,SUMTOTAL,4
ID009075,SUMTOTAL,4
ID067698,SUMTOTAL,4
ID066165,SUMTOTAL,4
ID035367,SUMTOTAL,4
ID058027,SUMTOTAL,4
ID059951,SUMTOTAL,4
ID067761,SUMTOTAL,4
ID059043,SUMTOTAL,4
ID063414,SUMTOTAL,4
ID066722,SUMTOTAL,4
ID068254,SUMTOTAL,4
ID056546,SUMTOTAL,4
ID036518,SUMTOTAL,4
ID057802,SUMTOTAL,4
ID036709,SUMTOTAL,4
ID068459,SUMTOTAL,4
ID065740,SUMTOTAL,4
ID026915,SUMTOTAL,4
IDFL-00282179,SUMTOTAL,4
ID061150,SUMTOTAL,4
IDFL-00286666,SUMTOTAL,4
ID059672,SUMTOTAL,4
ID057450,SUMTOTAL,4
ID050783,SUMTOTAL,4
ID063140,SUMTOTAL,4
ID056032,SUMTOTAL,4
IDFL-00285197,SUMTOTAL,4
ID058693,SUMTOTAL,4
ID068364,SUMTOTAL,4
ID041312,SUMTOTAL,4
ID056306,SUMTOTAL,4
ID055911,SUMTOTAL,4
ID029061,SUMTOTAL,4
ID068302,SUMTOTAL,4
ID068301,SUMTOTAL,4
ID056843,SUMTOTAL,4
